commit_date	filename	commit_hash	word_count
2016-04-21	sykes_dissertation_stability.tex	db9c179c4cd8ea4fab48df3b8d789d2f264efc7b	9375
2016-04-22	sykes_dissertation_acknowledgments.tex	68e26c7dbc05bc1614511e8111ae9763a6a0cf15	580
2016-04-22	sykes_dissertation_burntime.tex	ee33d70cd5c4f383bfcb117cf95fec8342983269	"
3887
 (errors:1)"
2016-04-23	sykes_dissertation_burntime.tex	1d4bb6a30a36e8dbae2deb0ac89d77a60255995f	4215
2016-04-25	sykes_dissertation_abstract.tex	adb161fabfec5247f0b66cefecb2d89181bc417b	272
2016-04-25	sykes_dissertation_burntime.tex	90ec7da950cfb365438362a8f5c0601c48bb13d0	4100
2016-04-25	sykes_dissertation_exact.tex	db6d9d1ece957e27111fe0a9abc93c1b4f09f96b	5896
2016-04-25	sykes_dissertation_stability.tex	3e77256f31c7fca77f21c84a49fb76881ae4ea35	9389
2016-04-26	sykes_dissertation_acknowledgments.tex	efc522f08e8cb7b30433e0aca72457f22d115989	592
2016-04-26	sykes_dissertation_defn.tex	cbf8950a5c1b07d8149dbac1c4a671fa0ee7b7cf	1776
2016-04-27	sykes_dissertation_burntime.tex	e449387c3f25fa595694fe5afcc0cd21c3666354	4121
2016-04-27	sykes_dissertation_stability.tex	7f5ec8274bd904ed4d8a2aab678ab5372939d1b5	9379
2016-04-28	sykes_dissertation_burntime.tex	f55f172fda60fdec9c73fb9f276eb5f849551edc	4392
2016-04-28	sykes_dissertation_defn.tex	5e76f1b501e2b15a5fd4d8f9a72d0d97ee0d1cd7	1747
2016-04-28	sykes_dissertation_intro.tex	071475fc262589a5bac967c8ec72068ab895b238	538
2016-04-28	sykes_dissertation_stability.tex	9e1a7eb4dfbb7c4f4482c9799877cae2a5c39ec5	9358
2016-04-29	sykes_dissertation.tex	c73a2dba5911ca8c146a31f2e356810f5390e20a	142
2016-04-29	sykes_dissertation_burntime.tex	0e207eb3017f8cf054b4a1debd75202c20460d3c	4225
2016-04-29	sykes_dissertation_defn.tex	d1299f8f8435f96432dcf242c893414c0628ef11	1756
2016-04-29	sykes_dissertation_exact.tex	a109738d1a47c8cb4ffd55f17f56f6714c50a2fe	6249
2016-04-29	sykes_dissertation_stability.tex	cf4ab6c98876fec3676acb7cf664559608513a1d	9329
2016-04-30	sykes_dissertation_burntime.tex	400a931e135a5314301aee8d3318e16d1dfed05e	4471
2016-04-30	sykes_dissertation_exact.tex	ed326859f6f211f7ecbdc07f31a21cc737638c46	6279
2016-04-30	sykes_dissertation_stability.tex	49663316d5b5ac7a2e3dcb2ff8fc56e44262686c	9422
2016-05-01	sykes_dissertation_exact.tex	eb5c2614fd551d821ece69f0890e12c88c066712	6496
2016-05-01	sykes_dissertation_stability.tex	d200f6b0326643b81316767c0c2bad7c865f2055	9432
2016-05-02	sykes_dissertation_exact.tex	c048dcc7e7e801deb929f050611d0efde0277124	6554
2016-05-02	sykes_dissertation_stability.tex	346c6bb869bf84bcfb46d077b8ce7d3b3f97587b	9876
2016-05-03	sykes_dissertation_exact.tex	56672440326da8ae2a272e22f427b5ca5f6028e7	5993
2016-05-04	sykes_dissertation.tex	305866eee1e443ba2654a0c906463f96b4e57f87	143
2016-05-04	sykes_dissertation_exact.tex	9306192bf157688bfbc7772d8c6b84d656b35a5c	6670
2016-05-04	sykes_dissertation_stability.tex	d6e106fb89496cd09c022e23d70390d439c3aa53	9855
2016-05-04	sykes_dissertation_vita_auctoris.tex	ac86e1b306ccca6685217f8bd5aaacd824193d3e	61
2016-05-05	sykes_dissertation.tex	1f26e06019bbfa73d29e2d2a53a01a9779b73fc7	144
2016-05-05	sykes_dissertation_abstract.tex	fd0e0aeff4ebcb78f0fb62749b1c0e70fa3af5d2	275
2016-05-05	sykes_dissertation_acknowledgments.tex	60e338357d9bd0f609ea6cc99b4f78b62366d04b	592
2016-05-05	sykes_dissertation_burnaxis.tex	67efb1cf24746881e1111650187cbb26ed2d3a96	1607
2016-05-05	sykes_dissertation_burntime.tex	c1c9b13b39b8c065cb271f41f2202b204f12c8a2	4471
